	34.3s : 203.0m/z	34.8s : 244.0m/z	38.2s : 360.2m/z	41.4s : 328.1m/z	47.5s : 294.1m/z	47.6s : 276.1m/z	72.3s : 328.1m/z	797.5s : 411.0m/z	906.9s : 485.1m/z	964.1s : 768.5m/z	972.3s : 124.0m/z	972.7s : 620.4m/z	1000.1s : 371.1m/z	1000.2s : 559.1m/z	1041.1s : 785.5m/z	1054.9s : 782.5m/z	1060.5s : 755.5m/z	1073.4s : 769.6m/z	1076.7s : 371.1m/z	1076.7s : 628.1m/z	1076.9s : 656.2m/z	1076.9s : 649.1m/z	1077.0s : 633.1m/z	34.3s : 203.053m/zA	34.8s : 244.079m/zA	38.2s : 360.213m/zA	41.4s : 328.139m/zA	47.5s : 294.155m/zA	47.6s : 276.144m/zA	72.3s : 328.139m/zA	797.5s : 411.094m/zA	906.9s : 485.113m/zA	964.1s : 768.503m/zA	972.3s : 124.087m/zA	972.7s : 620.493m/zA	1000.1s : 371.101m/zA	1000.2s : 559.131m/zA	1041.1s : 785.599m/zA	1054.9s : 782.519m/zA	1060.5s : 755.589m/zA	1073.4s : 769.605m/zA	1076.7s : 371.101m/zA	1076.7s : 628.194m/zA	1076.9s : 656.226m/zA	1076.9s : 649.123m/zA	1077.0s : 633.150m/zA	34.3s : 203.053m/zB	34.8s : 244.079m/zB	38.2s : 360.213m/zB	41.4s : 328.139m/zB	47.5s : 294.155m/zB	47.6s : 276.144m/zB	72.3s : 328.139m/zB	797.5s : 411.094m/zB	906.9s : 485.113m/zB	964.1s : 768.503m/zB	972.3s : 124.087m/zB	972.7s : 620.493m/zB	1000.1s : 371.101m/zB	1000.2s : 559.131m/zB	1041.1s : 785.599m/zB	1054.9s : 782.519m/zB	1060.5s : 755.589m/zB	1073.4s : 769.605m/zB	1076.7s : 371.101m/zB	1076.7s : 628.194m/zB	1076.9s : 656.226m/zB	1076.9s : 649.123m/zB	1077.0s : 633.150m/zB
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-144	402569	0	0	0	192856	100565	0	109969	227784	0	0	0	160222	335542	66656	0	61448	251236	71974	133204	194620	45566	462679	523737.0441	0	0	0	379677.1549	133071.8105	0	125112.1557	319490.6244	0	0	0	227278.8183	555488.3441	102530.2817	0	83143.29944	317275.2623	75641.08939	194675.9879	277305.8154	87053.50907	662047.6171	773182.9327	0	0	0	291891.9628	153148.3661	0	138480.5705	327120.8447	0	0	0	189355.925	529169.4784	106017.541	0	87408.87567	288197.8536	141023.9643	173634.5082	327948.9924	86508.17425	603413.4861
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-145	0	0	0	192856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-146	0	0	0	0	0	0	0	53863	123108	29402	63726	28082	69572	196549	0	54695	81321	455342	0	0	122879	0	233735	0	0	0	0	0	0	0	71398.99835	176398.2758	55451.25792	88409.89407	48674.75843	114046.745	299821.7738	0	71702.72408	160675.3345	490466.7962	0	0	202518.4384	0	319500.2835	0	0	0	0	0	0	0	70957.10698	227976.1583	44449.63683	115695.228	31406.15537	132834.733	376702.7138	0	93630.70147	155736.5661	814485.5988	0	0	157231.3075	0	263718.1245
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-147	0	0	0	0	244502	124939	87174	80010	176649	0	0	0	132586	294054	56234	0	46051	238835	72438	127483	192848	40498	435657	0	0	0	0	272093.8738	225011.2259	111396.8212	119154.8566	326572.4669	0	0	0	164452.4028	316511.6919	95488.84633	0	84382.79658	391498.8887	76094.51005	154875.0027	197287.2053	44866.44416	452297.262	0	0	0	0	473114.922	231201.9609	100000.407	93911.04521	237614.733	0	0	0	210279.0126	345544.349	96230.38249	0	69379.32996	310747.3699	128861.7533	253135.333	366330.308	46580.37024	602470.0495
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-148	469586	251906	161585	113763	254963	122061	0	92258	196240	0	0	0	131907	304436	96830	0	109582	395738	0	98527	156818	46774	407940	479141.0801	365293.8852	266118.8011	158656.7942	431134.2746	238062.0575	0	159546.9875	390341.7168	0	0	0	224856.18	373083.7307	156500.3243	0	150482.738	574311.3125	0	112098.971	251272.7269	54438.46679	564099.9313	544178.3911	333928.0481	181801.6566	158330.7577	407471.349	186237.3743	0	180995.4792	322846.4718	0	0	0	142018.1643	588852.8515	115044.1538	0	194857.7352	712710.3734	0	145925.5582	215570.095	73310.3303	788367.3411
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-149	402569	0	0	0	192856	100565	0	109969	227784	0	0	0	160222	335542	66656	0	61448	251236	71974	133204	194620	45566	462679	457708.3242	0	0	0	342772.0378	198914.7326	0	177557.5577	394577.128	0	0	0	303040.7243	361232.1209	126791.0821	0	117930.0737	418956.2317	99574.81006	265256.5503	374556.1179	85856.87131	462865.1737	679250.7697	0	0	0	333272.3009	138717.1814	0	176090.0958	298696.628	0	0	0	186053.3767	406931.9457	85589.29611	0	90836.53189	345630.7667	89730.59163	234607.6328	289824.6874	49628.60447	774489.8669
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-150	0	0	0	192856	0	0	0	0	0	0	0	0	0	0	0	0	131907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-151	0	0	0	0	0	0	0	53863	123108	29402	63726	28082	69572	196549	0	54695	81321	455342	0	0	122879	0	233735	0	0	0	0	0	0	0	65900.42198	155738.7158	45569.45358	112840.3521	40056.94414	111939.5692	365451.6061	0	109347.0722	102704.0107	766173.7196	0	0	204522.9373	0	291214.1062	0	0	0	0	0	0	0	79161.94341	157004.8751	37487.97385	126134.5712	36576.18839	98214.72091	304607.0844	0	90120.42959	114370.9018	603344.5607	0	0	153437.6588	0	466964.0253
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-152	0	0	0	0	244502	124939	87174	80010	176649	0	0	0	132586	294054	56234	0	46051	238835	72438	127483	192848	40498	435657	0	0	0	0	380007.1025	158818.5722	109950.1966	156839.1421	206293.0697	0	0	0	197255.4545	496283.1403	101016.7491	0	62966.63884	269907.9465	95468.68729	208650.6668	204897.1182	50841.36888	502447.0506	0	0	0	0	282678.62	137588.5599	115459.6719	115956.1032	341261.9398	0	0	0	200162.3068	340381.7546	100065.7235	0	88450.91623	391525.1162	120515.5415	183795.5114	216678.3263	51151.98234	684128.4322
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-153	469586	251906	161585	113763	254963	122061	0	92258	196240	0	0	0	131907	304436	96830	0	109582	395738	0	98527	156818	46774	407940	930235.3474	415784.9932	216626.3435	118973.8644	331055.8879	171571.7642	0	171466.2012	286367.5422	0	0	0	167498.9131	434046.982	163231.5049	0	190601.9219	622768.7831	0	141750.9262	194183.9234	89281.3047	545217.1728	696144.9745	422342.5816	211118.4203	152774.5769	383509.9376	152943.8644	0	113906.3148	322615.3468	0	0	0	136608.9436	564133.4031	190188.417	0	147074.7395	711325.1253	0	120353.2965	187484.7598	60190.49552	631086.4472
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-154	402569	0	0	0	192856	100565	0	109969	227784	0	0	0	160222	335542	66656	0	61448	251236	71974	133204	194620	45566	462679	685850.905	0	0	0	370358.4564	168873.6964	0	125837.4479	452993.1131	0	0	0	200127.2725	491395.5423	122319.4012	0	119619.6631	348571.1273	126038.9104	199597.4296	301276.219	53024.75445	586022.3019	687825.4419	0	0	0	192920.5116	114035.4604	0	195145.9247	263481.2257	0	0	0	283173.34	382583.4782	99360.75004	0	96560.40737	454264.6642	77835.65903	202723.7384	367605.9912	57051.54646	630901.7441
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-155	0	0	0	192856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-156	0	0	0	0	0	0	0	53863	123108	29402	63726	28082	69572	196549	0	54695	81321	455342	0	0	122879	0	233735	0	0	0	0	0	0	0	87498.6138	144232.1585	54787.56537	123176.9354	53653.82367	135402.6514	210123.1004	0	80130.89865	112839.9217	746247.1509	0	0	233401.9224	0	333723.9536	0	0	0	0	0	0	0	106331.0932	233128.6022	42941.33502	103637.0939	45181.14031	128721.9329	201683.5916	0	102367.745	134351.3614	665301.1214	0	0	149772.9113	0	351355.8714
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-157	0	0	0	0	244502	124939	87174	80010	176649	0	0	0	132586	294054	56234	0	46051	238835	72438	127483	192848	40498	435657	0	0	0	0	274255.4107	234408.9718	160003.6849	149070.918	253103.0386	0	0	0	240253.3838	502134.9655	84245.94644	0	60065.23629	448804.5197	136379.9476	207483.16	226907.5229	66953.36297	739026.5111	0	0	0	0	261234.4314	186948.6014	95762.58171	144651.2081	236001.7249	0	0	0	200461.8083	352260.3883	101840.7741	0	62533.82664	445483.6654	109182.269	138000.5569	239607.2945	52937.7762	573129.8722
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-158	469586	251906	161585	113763	254963	122061	0	92258	196240	0	0	0	131907	304436	96830	0	109582	395738	0	98527	156818	46774	407940	618840.6613	467837.7251	248134.2606	208889.2419	409424.0899	167702.552	0	95506.82467	210950.0192	0	0	0	213290.883	482326.1403	154603.7292	0	218253.644	579624.9024	0	185091.6826	252794.4746	67409.77618	600837.2225	847479.9691	440080.5814	300196.953	128432.8742	473544.1955	211948.0157	0	153052.0987	224323.9301	0	0	0	191533.9558	482467.5641	187424.0031	0	137145.4281	634798.3959	0	141423.8705	260164.2211	82711.83151	504083.4923
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-159	402569	0	0	0	192856	100565	0	109969	227784	0	0	0	160222	335542	66656	0	61448	251236	71974	133204	194620	45566	462679	434118.3807	0	0	0	280872.6356	195044.7044	0	184388.1922	228625.3152	0	0	0	206468.8296	356893.6099	70349.31752	0	66548.68758	497714.9305	73173.54727	251206.9374	282462.9583	65180.75057	897984.6878	616818.3584	0	0	0	384008.4109	188176.0122	0	205205.4655	411227.8613	0	0	0	164236.0451	383118.7239	69934.33581	0	116974.467	303906.6729	136346.7953	230335.8984	363309.8804	72036.70694	589970.9997
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-160	0	0	0	192856	0	0	0	0	0	0	0	0	0	0	0	0	131907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-161	0	0	0	0	0	0	0	53863	123108	29402	63726	28082	69572	196549	0	54695	81321	455342	0	0	122879	0	233735	0	0	0	0	0	0	0	56091.01363	241758.9148	42992.4524	115938.3716	48597.77118	127353.9822	361483.8546	0	104316.4416	125218.108	613872.4308	0	0	215343.6821	0	323057.8186	0	0	0	0	0	0	0	55212.77729	180623.3312	53554.28922	89197.54701	43251.43912	124988.082	374404.1958	0	95419.76163	100806.6649	508177.2281	0	0	159946.1421	0	441636.5472
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-162	0	0	0	0	244502	124939	87174	80010	176649	0	0	0	132586	294054	56234	0	46051	238835	72438	127483	192848	40498	435657	0	0	0	0	400576.8584	193547.1868	132424.9101	103639.696	296731.0356	0	0	0	202816.5201	343910.5718	60957.48268	0	86787.60197	264283.4994	91473.54924	150665.6756	253134.3225	41650.35281	739394.6631	0	0	0	0	263146.5934	248630.2299	164714.0653	141746.6548	238597.5539	0	0	0	230043.4753	475462.0768	99948.42431	0	78770.05315	434068.6991	139405.3295	240226.9249	234481.2262	77244.95202	515858.8234
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-163	469586	251906	161585	113763	254963	122061	0	92258	196240	0	0	0	131907	304436	96830	0	109582	395738	0	98527	156818	46774	407940	662481.5067	285523.3276	268136.7445	121050.7165	402128.3947	136354.4686	0	149924.2631	274222.3168	0	0	0	155348.0941	426499.4734	148277.9774	0	200796.368	760112.1694	0	102101.463	224792.2076	65624.10544	503744.8577	535956.5329	424064.6248	236553.1203	125190.1197	294214.7116	237511.934	0	161068.3698	267165.3185	0	0	0	161234.8668	460843.1954	115161.8516	0	125438.5554	514937.6372	0	146957.7137	158484.2733	68022.2053	680457.5066
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-164	402569	0	0	0	192856	100565	0	109969	227784	0	0	0	160222	335542	66656	0	61448	251236	71974	133204	194620	45566	462679	410920.1288	0	0	0	310391.4506	155059.0454	0	198312.487	289801.6639	0	0	0	239289.2048	509346.0217	91490.44479	0	89811.04025	265769.2731	74103.42522	158031.1274	359540.5849	64714.83784	836099.3494	457951.3665	0	0	0	328728.3016	128298.9853	0	195830.5325	326175.3501	0	0	0	270181.3843	567212.6112	98177.43685	0	109220.6766	339130.0503	133496.6357	248965.7202	196139.5953	82934.83864	711133.84
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-165	0	0	0	192856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-166	0	0	0	0	0	0	0	53863	123108	29402	63726	28082	69572	196549	0	54695	81321	455342	0	0	122879	0	233735	0	0	0	0	0	0	0	82769.05281	134248.384	30197.67948	64436.0556	39536.767	74089.36183	392217.7799	0	109156.7655	148604.0717	846637.9982	0	0	234287.8649	0	418476.7427	0	0	0	0	0	0	0	62874.33442	142013.1599	53717.33011	116768.9637	43029.1331	137803.5359	372954.9183	0	95747.48439	156418.5759	528912.3645	0	0	191895.7021	0	322240.9424
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-167	0	0	0	0	244502	124939	87174	80010	176649	0	0	0	132586	294054	56234	0	46051	238835	72438	127483	192848	40498	435657	0	0	0	0	412431.1905	127873.9432	140673.2774	112222.515	211205.6355	0	0	0	209913.2538	312480.2104	87521.02616	0	66109.43551	263251.511	73955.07199	213690.2997	197343.3657	79782.57964	586512.0283	0	0	0	0	468079.6313	218724.144	142237.325	99397.22238	308432.8068	0	0	0	157972.6349	487758.1975	106962.4397	0	54112.10499	420288.1768	109186.3058	168034.8663	221769.1246	48147.70752	528292.6767
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-168	469586	251906	161585	113763	254963	122061	0	92258	196240	0	0	0	131907	304436	96830	0	109582	395738	0	98527	156818	46774	407940	741305.4569	473614.4605	280755.636	147724.9723	494609.5941	198128.3674	0	145032.2928	366656.8575	0	0	0	229737.6105	345076.4509	133247.0012	0	142548.9203	644484.7649	0	113871.1402	285562.5342	56998.88446	717859.1151	563463.3941	287635.0777	204513.2305	167944.5089	483586.5582	226411.8505	0	115270.4997	302289.2962	0	0	0	147229.125	460336.036	123860.5801	0	163545.0464	509657.4909	0	129408.8297	206950.0622	65525.01567	472194.7842
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-169	402569	0	0	0	192856	100565	0	109969	227784	0	0	0	160222	335542	66656	0	61448	251236	71974	133204	194620	45566	462679	714949.9057	0	0	0	296559.0262	119767.1379	0	137765.5751	339222.7203	0	0	0	218188.1753	601327.9681	110707.7965	0	78604.39826	334173.3754	101652.0019	142378.086	350661.9791	88075.46671	526403.0982	752316.7203	0	0	0	254699.749	177183.9167	0	204961.2952	340019.2422	0	0	0	296204.2399	667816.8508	78380.01132	0	122404.6767	365392.1257	72224.22973	177858.1445	304581.1249	86779.39608	597548.1936
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-170	0	0	0	192856	0	0	0	0	0	0	0	0	0	0	0	0	131907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-171	0	0	0	0	0	0	0	53863	123108	29402	63726	28082	69572	196549	0	54695	81321	455342	0	0	122879	0	233735	0	0	0	0	0	0	0	104109.5104	131846.1602	42885.11776	64804.87664	31572.11462	130290.5871	280068.5064	0	68482.08605	147256.7539	907335.9449	0	0	205320.2176	0	342526.6033	0	0	0	0	0	0	0	96739.39645	181965.9464	49356.53272	102843.3575	47833.63275	107636.5779	278932.5538	0	77508.26348	159350.7843	593065.734	0	0	235424.602	0	304357.8183
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-172	0	0	0	0	244502	124939	87174	80010	176649	0	0	0	132586	294054	56234	0	46051	238835	72438	127483	192848	40498	435657	0	0	0	0	287041.047	134918.6336	97539.31024	88674.68775	246243.2522	0	0	0	135161.2364	437389.1062	106214.1846	0	81793.27467	321796.7155	103689.2059	168372.5061	237257.9358	60690.5876	620506.5435	0	0	0	0	485587.4568	247781.3233	165607.9186	113517.9912	281724.9203	0	0	0	234559.5445	448107.6018	64081.55552	0	74836.58627	338670.8369	78731.37618	243190.4351	205393.1049	61759.61042	577480.4408
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-173	469586	251906	161585	113763	254963	122061	0	92258	196240	0	0	0	131907	304436	96830	0	109582	395738	0	98527	156818	46774	407940	677838.6192	430783.3127	253400.1765	132118.1306	291892.9482	241222.4084	0	96321.10405	201664.5052	0	0	0	149539.1393	600211.4626	173974.9434	0	200422.2536	406414.2451	0	121609.1523	227752.4963	54689.80355	701072.8025	618954.0866	443281.8526	222669.0816	173261.8951	380569.2131	195893.3924	0	143576.0409	379039.6532	0	0	0	237328.8277	511711.5015	180488.3044	0	185760.9994	597668.883	0	111410.6448	256261.4149	52186.35836	660376.6754
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-174	402569	0	0	0	192856	100565	0	109969	227784	0	0	0	160222	335542	66656	0	61448	251236	71974	133204	194620	45566	462679	539871.2038	0	0	0	281985.2904	131534.8547	0	168939.6268	357959.9057	0	0	0	191221.7319	440423.5468	115596.9059	0	83635.85505	453907.0559	114892.0471	220071.1819	342968.1913	64126.84898	801685.8781	661131.9477	0	0	0	320416.9598	192375.9394	0	200664.6468	426857.4587	0	0	0	165823.797	338136.0009	121641.5494	0	110681.5945	277473.5532	77053.48214	214172.9171	215288.1022	70884.52312	594249.0936
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-175	0	0	0	192856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-176	0	0	0	0	0	0	0	53863	123108	29402	63726	28082	69572	196549	0	54695	81321	455342	0	0	122879	0	233735	0	0	0	0	0	0	0	56577.44174	234590.2495	45813.90312	118232.4272	50740.77288	132637.2353	197339.8962	0	85679.08191	154638.2828	670689.3735	0	0	124819.5761	0	462879.7198	0	0	0	0	0	0	0	63655.72522	157237.3777	41684.36885	93616.11697	38423.68394	101014.6709	259537.6739	0	70150.71309	128656.0604	864873.1618	0	0	207570.706	0	254431.832
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-177	0	0	0	0	244502	124939	87174	80010	176649	0	0	0	132586	294054	56234	0	46051	238835	72438	127483	192848	40498	435657	0	0	0	0	458904.0706	126886.1864	137032.3046	143791.959	309881.057	0	0	0	228832.434	517481.893	100753.4991	0	84418.82243	285776.881	107537.6323	222369.0783	374101.272	70081.51514	680074.9553	0	0	0	0	349747.6788	170157.4376	172189.0677	140905.4326	275997.1552	0	0	0	252836.2981	329528.042	64747.64444	0	68739.39428	289867.4066	73496.59634	234934.7214	260522.5205	78334.67135	870455.0057
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-178	469586	251906	161585	113763	254963	122061	0	92258	196240	0	0	0	131907	304436	96830	0	109582	395738	0	98527	156818	46774	407940	721659.6981	425566.6982	209910.882	168190.7921	306554.4233	123337.7988	0	102603.4329	330994.397	0	0	0	152699.3949	446654.6161	180050.6827	0	203264.7175	789134.9105	0	180118.252	311222.6606	92798.10012	625651.4889	521892.9092	453668.9554	230154.3863	212680.0104	483597.3763	181561.0524	0	133753.2692	242050.7975	0	0	0	252669.3311	403940.4219	105632.2803	0	181437.09	612069.6439	0	175435.0838	309042.7017	90701.82973	655465.6402
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-179	402569	0	0	0	192856	100565	0	109969	227784	0	0	0	160222	335542	66656	0	61448	251236	71974	133204	194620	45566	462679	522546.1169	0	0	0	250605.7516	153768.4482	0	123905.4856	277510.9505	0	0	0	206646.2366	412669.2874	87676.67673	0	66431.97394	420771.1341	74105.90092	157625.0192	262436.3115	56515.58487	862530.5423	749218.6574	0	0	0	216107.7357	141026.8804	0	190631.208	378954.6249	0	0	0	165722.504	560686.3252	127748.3846	0	91695.58608	475517.8885	87105.21037	181563.0787	327676.3505	65948.36787	508904.4709
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-180	0	0	0	192856	0	0	0	0	0	0	0	0	0	0	0	0	131907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-181	0	0	0	0	0	0	0	53863	123108	29402	63726	28082	69572	196549	0	54695	81321	455342	0	0	122879	0	233735	0	0	0	0	0	0	0	95522.33662	130850.8893	44178.82373	118337.5549	46957.65117	112160.3075	279545.7547	0	67015.04784	157572.9706	517803.0952	0	0	129893.9941	0	333613.779	0	0	0	0	0	0	0	59220.35494	172924.0575	47816.28712	69655.10988	30449.71984	104158.7318	204686.3935	0	65484.00189	128813.6164	908992.0252	0	0	149240.5618	0	371196.9916
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-182	0	0	0	0	244502	124939	87174	80010	176649	0	0	0	132586	294054	56234	0	46051	238835	72438	127483	192848	40498	435657	0	0	0	0	413824.6126	169428.4707	141662.9062	124485.9673	305831.8307	0	0	0	133229.5516	416667.7778	96627.72874	0	85659.67418	431312.0617	97669.85096	246547.83	370476.4829	43262.35899	691951.6679	0	0	0	0	394673.258	170142.3418	99153.4385	81364.39484	338634.994	0	0	0	254475.1201	378081.692	110978.4542	0	84159.61058	340049.7997	86850.63721	226207.4077	301905.481	57168.49064	732358.853
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-183	469586	251906	161585	113763	254963	122061	0	92258	196240	0	0	0	131907	304436	96830	0	109582	395738	0	98527	156818	46774	407940	857656.3051	429551.6016	287535.0142	169272.9779	298532.6103	199455.2572	0	107884.1311	303726.6738	0	0	0	192375.3509	351722.2163	183049.867	0	183249.7323	705850.2889	0	150901.2562	257770.4067	51518.61781	538340.9082	876889.1542	367757.3153	184505.199	212339.6283	330858.8748	158789.5433	0	155589.8876	257658.6384	0	0	0	258564.7169	502788.0576	134753.9468	0	151315.7375	612261.6429	0	158538.3792	228195.5733	59191.55397	686299.1644
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-184	402569	0	0	0	192856	100565	0	109969	227784	0	0	0	160222	335542	66656	0	61448	251236	71974	133204	194620	45566	462679	595992.8331	0	0	0	240097.5401	134970.2958	0	187968.7766	264555.0637	0	0	0	198200.0719	536900.9936	130106.9165	0	107332.1825	483006.5097	85290.35394	176209.6752	211348.5895	60217.99452	813471.0835	650031.6321	0	0	0	286014.1361	174656.5358	0	153625.27	406366.0447	0	0	0	313938.4171	421473.7695	108054.644	0	117688.3267	402095.5932	106480.1365	226314.9186	263583.2623	83852.67424	644850.3821
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-185	0	0	0	192856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-186	0	0	0	0	0	0	0	53863	123108	29402	63726	28082	69572	196549	0	54695	81321	455342	0	0	122879	0	233735	0	0	0	0	0	0	0	91154.78944	180988.0842	36187.18883	118991.6431	37498.25494	120460.5258	287214.2731	0	61641.46006	132918.4134	463643.9757	0	0	229846.0267	0	371001.8707	0	0	0	0	0	0	0	94030.88509	173063.1222	29612.41068	74026.60778	28768.18576	94680.19079	282754.7787	0	106295.4914	149090.3539	596993.7564	0	0	146485.7791	0	419164.5376
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-187	0	0	0	0	244502	124939	87174	80010	176649	0	0	0	132586	294054	56234	0	46051	238835	72438	127483	192848	40498	435657	0	0	0	0	452778.9967	128475.7662	134355.2162	91343.37811	286692.1373	0	0	0	201380.1554	578758.4766	71417.19259	0	79782.5251	462527.2818	135687.9229	169581.8416	285207.0513	43906.81933	845725.1693	0	0	0	0	405958.0132	240121.8004	145655.4213	112146.3896	224485.7854	0	0	0	243533.2785	393432.7109	73374.13316	0	84137.27057	416583.0743	140704.7367	132179.8599	264942.772	70258.02295	460628.3188
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-188	469586	251906	161585	113763	254963	122061	0	92258	196240	0	0	0	131907	304436	96830	0	109582	395738	0	98527	156818	46774	407940	843720.8072	261963.9127	208207.1813	199735.368	433022.9413	130183.1614	0	169663.5272	339804.8301	0	0	0	139454.1789	568091.9304	188986.7936	0	188745.3006	511338.2905	0	115344.5815	305375.85	61651.16157	762103.7657	919462.6315	372128.7758	263501.0554	123541.7227	266415.5468	181815.0427	0	135260.1498	207902.4006	0	0	0	171631.099	532135.6326	142256.309	0	124159.3213	790763.6821	0	151926.7556	313319.578	90826.21345	493280.5144
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-189	402569	0	0	0	192856	100565	0	109969	227784	0	0	0	160222	335542	66656	0	61448	251236	71974	133204	194620	45566	462679	744284.2931	0	0	0	355426.0956	149802.6276	0	150371.5166	261796.5169	0	0	0	271379.4109	385787.0625	126544.3979	0	71132.61099	459211.8812	98672.13279	197930.3035	324748.7387	52873.67695	780070.5581	626775.8532	0	0	0	211704.4846	120371.5345	0	119528.3588	404807.598	0	0	0	284981.8615	581516.8437	67958.01149	0	77439.03327	393296.359	91295.39849	212783.9262	234964.0576	63651.74023	481679.6105
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-190	0	0	0	192856	0	0	0	0	0	0	0	0	0	0	0	0	131907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
